Entity,Code,Year,"Age-standardized deaths from pancreas cancer in both sexes in those aged all ages per 100,000 people"
Costa Rica,CRI,2016,4.8622546
Costa Rica,CRI,2017,4.7498665
Costa Rica,CRI,2018,4.9613914
Costa Rica,CRI,2019,5.4931936
Costa Rica,CRI,2020,4.4780154
Costa Rica,CRI,2021,4.2656865
Costa Rica,CRI,2022,4.8284297
Croatia,HRV,1985,6.3334
Croatia,HRV,1986,5.5448465
Croatia,HRV,1987,5.895322
Croatia,HRV,1988,6.6612678
Croatia,HRV,1989,6.5690665
Croatia,HRV,1990,6.34106
Croatia,HRV,1991,6.2829804
Croatia,HRV,1992,6.1158843
Croatia,HRV,1993,6.417279
Croatia,HRV,1994,6.0736904
Croatia,HRV,1995,6.141863
Croatia,HRV,1996,7.6124954
Croatia,HRV,1997,6.651964
Croatia,HRV,1998,8.029863
Croatia,HRV,1999,8.251448
Croatia,HRV,2000,8.107806
Croatia,HRV,2001,7.339905
Croatia,HRV,2002,7.2415376
Croatia,HRV,2003,7.4434543
Croatia,HRV,2004,6.8062453
Croatia,HRV,2005,7.770912
Croatia,HRV,2006,7.297776
Croatia,HRV,2007,7.751621
Croatia,HRV,2008,8.619898
Croatia,HRV,2009,8.109633
Croatia,HRV,2010,7.7558336
Croatia,HRV,2011,8.019712
Croatia,HRV,2012,8.614549
Croatia,HRV,2013,8.094177
Croatia,HRV,2014,7.487881
Croatia,HRV,2015,8.502904
Croatia,HRV,2016,8.252372
Croatia,HRV,2017,8.238665
Croatia,HRV,2018,8.315042
Croatia,HRV,2019,7.8870068
Croatia,HRV,2020,8.01802
Croatia,HRV,2021,8.107689
Cuba,CUB,2000,4.6108828
Cuba,CUB,2001,4.9386735
Cuba,CUB,2002,5.1493974
Cuba,CUB,2003,4.7863684
Cuba,CUB,2004,4.5439873
Cuba,CUB,2005,4.8142505
Cuba,CUB,2006,5.167879
Cuba,CUB,2007,4.826694
Cuba,CUB,2008,5.1690745
Cuba,CUB,2009,4.685657
Cuba,CUB,2010,5.1290264
Cuba,CUB,2011,4.7311306
Cuba,CUB,2012,4.821061
Cuba,CUB,2013,4.6094956
Cuba,CUB,2014,4.8181543
Cuba,CUB,2015,4.6385703
Cuba,CUB,2016,4.5003433
Cuba,CUB,2017,4.279886
Cuba,CUB,2018,4.5239353
Cuba,CUB,2019,4.4837875
Cuba,CUB,2020,4.508409
Cuba,CUB,2021,4.4230113
Cyprus,CYP,1999,1.6141742
Cyprus,CYP,2000,1.8180661
Cyprus,CYP,2004,4.599551
Cyprus,CYP,2005,3.8566196
Cyprus,CYP,2006,3.5530555
Cyprus,CYP,2007,5.87449
Cyprus,CYP,2008,4.635151
Cyprus,CYP,2009,5.794612
Cyprus,CYP,2010,4.409985
Cyprus,CYP,2011,4.03593
Cyprus,CYP,2012,4.778901
Cyprus,CYP,2013,5.2612395
Cyprus,CYP,2014,5.2547264
Cyprus,CYP,2015,5.9278445
Cyprus,CYP,2016,5.613879
Cyprus,CYP,2017,5.6692867
Cyprus,CYP,2018,6.9732947
Cyprus,CYP,2019,6.0502677
Cyprus,CYP,2020,6.962765
Cyprus,CYP,2021,5.996291
Cyprus,CYP,2022,6.7906857
Czechia,CZE,1986,9.1955185
Czechia,CZE,1987,10.032895
Czechia,CZE,1988,9.483044
Czechia,CZE,1989,9.856627
Czechia,CZE,1990,9.783372
Czechia,CZE,1991,10.356382
Czechia,CZE,1992,9.792903
Czechia,CZE,1993,9.848829
Czechia,CZE,1994,9.827247
Czechia,CZE,1995,10.160359
Czechia,CZE,1996,9.821917
Czechia,CZE,1997,10.085685
Czechia,CZE,1998,9.8234415
Czechia,CZE,1999,9.25076
Czechia,CZE,2000,9.872585
Czechia,CZE,2001,10.02811
Czechia,CZE,2002,9.93623
Czechia,CZE,2003,10.454901
Czechia,CZE,2004,10.160453
Czechia,CZE,2005,10.511623
Czechia,CZE,2006,10.591546
Czechia,CZE,2007,9.989749
Czechia,CZE,2008,9.636502
Czechia,CZE,2009,9.951145
Czechia,CZE,2010,9.955795
Czechia,CZE,2011,10.583566
Czechia,CZE,2012,9.557426
Czechia,CZE,2013,9.979807
Czechia,CZE,2014,9.729903
Czechia,CZE,2015,9.671
Czechia,CZE,2016,9.731972
Czechia,CZE,2017,9.594087
Czechia,CZE,2018,9.742792
Czechia,CZE,2019,10.082264
Czechia,CZE,2020,10.089002
Czechia,CZE,2021,10.259203
Czechia,CZE,2022,9.5973425
Czechia,CZE,2023,9.993751
Denmark,DNK,1994,8.082849
Denmark,DNK,1995,8.078425
Denmark,DNK,1996,7.508805
Denmark,DNK,1997,7.5219083
Denmark,DNK,1998,8.537339
Denmark,DNK,1999,8.7956915
Denmark,DNK,2000,8.736943
Denmark,DNK,2001,8.00203
Denmark,DNK,2002,7.6272764
Denmark,DNK,2003,8.071915
Denmark,DNK,2004,8.534999
Denmark,DNK,2005,8.310754
Denmark,DNK,2006,8.58599
Denmark,DNK,2007,8.662658
Denmark,DNK,2008,8.818588
Denmark,DNK,2009,8.467036
Denmark,DNK,2010,8.656187
Denmark,DNK,2011,8.198528
Denmark,DNK,2012,8.997608
Denmark,DNK,2013,8.51169
Denmark,DNK,2014,8.271266
Denmark,DNK,2015,8.309356
Denmark,DNK,2016,8.244327
Denmark,DNK,2017,8.953342
Denmark,DNK,2018,8.384066
Denmark,DNK,2019,8.978207
Denmark,DNK,2020,8.715366
Denmark,DNK,2021,8.449101
Denmark,DNK,2022,8.805221
Dominican Republic,DOM,1996,0.95716894
Dominican Republic,DOM,1997,1.7562481
Dominican Republic,DOM,1998,1.4702455
Dominican Republic,DOM,1999,1.398176
Dominican Republic,DOM,2000,1.8570595
Dominican Republic,DOM,2001,2.0328376
Dominican Republic,DOM,2002,1.8633087
Dominican Republic,DOM,2003,1.7487333
Dominican Republic,DOM,2004,1.8748109
Dominican Republic,DOM,2005,1.978948
Dominican Republic,DOM,2006,1.7861611
Dominican Republic,DOM,2007,1.7610002
Dominican Republic,DOM,2008,1.4606004
Dominican Republic,DOM,2009,1.7763283
Dominican Republic,DOM,2010,2.0726519
Dominican Republic,DOM,2011,2.3753974
Dominican Republic,DOM,2012,2.4766085
Dominican Republic,DOM,2013,2.744305
Dominican Republic,DOM,2014,2.1186905
Dominican Republic,DOM,2015,2.0357456
Dominican Republic,DOM,2016,1.8214096
Dominican Republic,DOM,2017,2.0580018
Dominican Republic,DOM,2018,2.2803042
Ecuador,ECU,1997,2.5473254
Ecuador,ECU,1998,2.906147
Ecuador,ECU,1999,3.1676285
Ecuador,ECU,2000,3.1446834
Ecuador,ECU,2001,2.8958883
Ecuador,ECU,2002,2.997616
Ecuador,ECU,2003,3.189357
Ecuador,ECU,2004,2.7868607
Ecuador,ECU,2005,2.9378152
Ecuador,ECU,2006,2.728594
Ecuador,ECU,2007,3.1457856
Ecuador,ECU,2008,2.8243184
Ecuador,ECU,2009,2.89879
Ecuador,ECU,2010,2.9859264
Ecuador,ECU,2011,3.0177176
Ecuador,ECU,2012,2.9874783
Ecuador,ECU,2013,2.4867706
Ecuador,ECU,2014,2.5261276
Ecuador,ECU,2015,2.8064604
Ecuador,ECU,2016,2.8789277
Ecuador,ECU,2017,3.2388978
Ecuador,ECU,2018,2.985808
Ecuador,ECU,2019,3.1487772
Ecuador,ECU,2020,2.996518
Ecuador,ECU,2021,3.111696
Ecuador,ECU,2022,2.842508
Egypt,EGY,1980,0.32692093
Egypt,EGY,1987,0.6171871
Egypt,EGY,1991,0.6863645
Egypt,EGY,1992,0.6468829
Egypt,EGY,2000,1.4011068
Egypt,EGY,2001,1.2150949
Egypt,EGY,2002,1.1840396
Egypt,EGY,2003,1.2439445
Egypt,EGY,2004,1.1546195
Egypt,EGY,2005,1.233009
Egypt,EGY,2006,1.2768842
Egypt,EGY,2007,1.2639396
Egypt,EGY,2008,1.3348508
Egypt,EGY,2009,1.3592893
Egypt,EGY,2010,1.5237079
Egypt,EGY,2011,1.6457824
Egypt,EGY,2012,1.636602
Egypt,EGY,2013,1.7871966
Egypt,EGY,2014,2.163205
Egypt,EGY,2015,1.8197113
Egypt,EGY,2016,2.0477073
Egypt,EGY,2017,1.871843
Egypt,EGY,2018,1.9204648
Egypt,EGY,2019,1.8402127
El Salvador,SLV,1997,1.3427336
El Salvador,SLV,1998,1.5942341
El Salvador,SLV,1999,1.3102272
El Salvador,SLV,2000,1.9647591
